gene,I0774,I0785,I0861,I0803,I0885,I0740,I0846,I0851,I0761,I0787,I0838,I0734,I0745,I0769,I0847,I0848,I0883,I0766,I0828,I0884,I0843,I0863,I0875
TMEM259,12.7255595,12.41726352,12.46769949,12.44832773,12.93645653,12.90756828,13.01534782,12.68982194,12.31187424,12.92994352,12.4640846,12.27539396,12.27951916,12.48070826,12.87367755,12.37462884,12.89540211,12.6013369,12.55694915,12.43000721,12.87551977,12.48754951,12.28012796
TSEN54,9.926077843,9.861576347,9.729451668,10.20993566,10.54161799,10.45873529,11.00536401,10.548317,10.02622655,10.59896581,10.22583783,10.13744855,10.19269898,10.27795474,10.5443991,10.09584796,10.4101035,9.510083163,10.12803587,9.923531019,10.44670931,10.14198056,10.33212851
NPLOC4,12.91663461,12.92061554,13.00087879,12.90359179,13.1077878,11.92692757,12.20413968,12.02016763,13.05459201,13.07441188,12.88085933,12.72714178,12.77621512,13.10215105,13.04099173,12.98309756,13.04433409,12.62322507,12.90261084,13.01389422,12.99786257,13.04316972,12.73652612
TSHZ2,11.6132706,11.21103181,10.71186545,10.76367578,11.19846249,10.7076601,11.65161552,10.64836235,10.16958609,11.0347408,10.38284746,10.69743505,10.4772203,10.24847374,11.08454619,10.22635487,11.09893863,9.892558004,10.63719844,10.2717713,11.15434214,10.39432658,10.4930988
EXOC7,10.87035832,11.05043159,10.87782041,11.04854412,11.25157027,11.404896,11.38506055,11.4513331,10.99537071,11.19626588,11.04795122,10.92717977,11.02541544,10.95516011,11.15931715,10.8020781,11.05840885,11.00652348,10.98058319,10.85593555,11.13456776,10.9065776,11.0304332
KPNA2,12.89093369,13.0507708,13.04120434,12.61096463,12.64982628,9.412109723,9.070664837,9.017747541,12.79073085,12.57535584,12.73746991,12.70120969,12.75504234,12.81054364,12.67920044,12.86828208,12.58761123,12.08531695,12.61969425,12.60242659,12.61572191,12.88929725,12.85009079
MXRA7,6.602785551,6.608697289,6.276072613,7.52906829,7.055059021,9.226374733,9.176675104,9.152285501,6.739549418,7.181105405,7.263483187,7.345362832,7.407565996,6.669588451,7.259096919,6.649127867,7.156686299,7.028761024,7.383513859,6.890163388,6.816582019,6.609782744,7.453013781
PLCB1,6.82928002,7.204954273,7.623202055,7.271011587,6.76440205,8.237802483,7.586036084,8.630568575,7.900328142,6.844274015,7.415705405,7.389943973,7.212811761,7.974502671,6.509005193,7.824942809,6.642063566,6.431403287,7.314823671,8.0050284,6.652163965,7.63264915,7.081489852
SKA2,8.661855064,9.01351662,8.769765474,9.496583479,8.591878439,8.760522222,8.975954395,9.265679327,8.681519559,8.412685086,9.345157439,9.414347957,9.245946544,8.459308783,8.684886474,8.618309901,8.489814333,8.216818677,9.249237659,8.902660981,8.451812915,8.755371778,9.345626103
HOXB4,7.721830272,7.507230458,7.212993652,7.474340056,7.431033047,7.77857535,8.590295273,8.061186235,7.084748558,7.390454541,7.255008721,7.30712976,7.035544819,7.123810287,7.41422689,7.233266039,7.545926155,6.723492597,7.137244438,7.096991654,7.493210531,7.532642954,7.377367922
